id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
51,DK_Nuclear,2030,true,2095.0,,-0.0
52,DK_OCGT,2030,true,357.0,,-0.0
53,DK_Battery,2030,false,100.0,,0.0
54,NO_Solar,2030,true,18.0,,-0.0
55,NO_Wind_Onshore,2030,true,49.0,,839.0
56,NO_Wind_Offshore,2030,true,49.0,,-0.0
57,NO_Nuclear,2030,true,2095.0,,-0.0
58,NO_CCGT,2030,true,357.0,,-0.0
59,NO_OCGT,2030,true,357.0,,-0.0
60,NO_Battery,2030,false,100.0,,0.0
61,IE_Wind_Offshore,2030,true,49.0,,-0.0
62,IE_Coal,2030,true,824.0,,-0.0
63,IE_Nuclear,2030,true,2095.0,,-0.0
64,IE_CCGT,2030,true,357.0,,-0.0
65,IE_OCGT,2030,true,357.0,,-0.0
66,SE_Wind_Onshore,2030,true,49.0,,748.0
67,SE_Coal,2030,true,824.0,,-0.0
68,SE_Nuclear,2030,true,2095.0,,-0.0
69,SE_CCGT,2030,true,357.0,,23.0
70,SE_OCGT,2030,true,357.0,,-0.0
71,SE_Battery,2030,false,100.0,,1.666602989266521
72,AT_Solar,2030,true,18.0,,-0.0
73,AT_Wind_Onshore,2030,true,49.0,,582.0
74,AT_Wind_Offshore,2030,true,49.0,,-0.0
75,AT_Coal,2030,true,824.0,,3.0
76,AT_Nuclear,2030,true,2095.0,,-0.0
77,AT_CCGT,2030,true,357.0,,-0.0
78,AT_OCGT,2030,true,357.0,,-0.0
79,AT_Battery,2030,false,100.0,,0.9864068754489588
80,CZ_Solar,2030,true,18.0,,197.0
81,CZ_Wind_Offshore,2030,true,49.0,,-0.0
82,CZ_Nuclear,2030,true,2095.0,,-0.0
83,CZ_CCGT,2030,true,357.0,,3.0
84,CZ_OCGT,2030,true,357.0,,-0.0
85,CZ_Battery,2030,false,100.0,,2.3963511349956907
86,PL_Solar,2030,true,18.0,,654.0
87,PL_Wind_Onshore,2030,true,49.0,,626.0
88,PL_Wind_Offshore,2030,true,49.0,,-0.0
89,PL_Coal,2030,true,824.0,,7.0
90,PL_Nuclear,2030,true,2095.0,,-0.0
91,PL_OCGT,2030,true,357.0,,-0.0
92,PL_Battery,2030,false,100.0,,0.0
93,ES_Solar,2030,true,18.0,,1158.0
94,ES_Wind_Onshore,2030,true,49.0,,1341.0
95,ES_Wind_Offshore,2030,true,49.0,,-0.0
96,ES_Coal,2030,true,824.0,,11.0
97,ES_Nuclear,2030,true,2095.0,,-0.0
98,ES_CCGT,2030,true,357.0,,14.0
99,ES_OCGT,2030,true,357.0,,21.0
100,ES_Battery,2030,false,100.0,,12.991546400364314
101,IT_Solar,2030,true,18.0,,3138.0
102,IT_Wind_Offshore,2030,true,49.0,,-0.0
103,IT_Nuclear,2030,true,2095.0,,-0.0
104,IT_CCGT,2030,true,357.0,,13.0
105,IT_OCGT,2030,true,357.0,,29.0
106,IT_Battery,2030,false,100.0,,33.023763172935894
107,LT_Wind_Onshore,2030,true,49.0,,11.0
108,LT_Wind_Offshore,2030,true,49.0,,-0.0
109,LT_Coal,2030,true,824.0,,-0.0
110,LT_Nuclear,2030,true,2095.0,,-0.0
111,LT_CCGT,2030,true,357.0,,3.0
112,LT_OCGT,2030,true,357.0,,-0.0
113,LT_Battery,2030,false,100.0,,3.7870962565497712
114,FI_Solar,2030,true,18.0,,231.0
115,FI_Wind_Onshore,2030,true,49.0,,569.0
116,FI_Coal,2030,true,824.0,,3.0
117,FI_Nuclear,2030,true,2095.0,,-0.0
118,FI_OCGT,2030,true,357.0,,2.0
119,FI_Battery,2030,false,100.0,,2.802302307456557
120,SI_Solar,2030,true,18.0,,265.0
121,SI_Wind_Onshore,2030,true,49.0,,-0.0
122,SI_Wind_Offshore,2030,true,49.0,,-0.0
123,SI_Coal,2030,true,824.0,,-0.0
124,SI_OCGT,2030,true,357.0,,7.0
125,HU_Solar,2030,true,18.0,,97.0
126,HU_Wind_Onshore,2030,true,49.0,,151.0
127,HU_Wind_Offshore,2030,true,49.0,,-0.0
128,HU_Coal,2030,true,824.0,,6.0
129,HU_Nuclear,2030,true,2095.0,,-0.0
130,HU_CCGT,2030,true,357.0,,-0.0
131,HU_OCGT,2030,true,357.0,,-0.0
132,HU_Battery,2030,false,100.0,,0.0
133,SK_Wind_Onshore,2030,true,49.0,,87.0
134,SK_Wind_Offshore,2030,true,49.0,,-0.0
135,SK_Nuclear,2030,true,2095.0,,-0.0
136,SK_CCGT,2030,true,357.0,,-0.0
137,SK_OCGT,2030,true,357.0,,-0.0
138,SK_Battery,2030,false,100.0,,0.0
139,PT_Solar,2030,true,18.0,,187.0
140,PT_Wind_Onshore,2030,true,49.0,,327.0
141,PT_Wind_Offshore,2030,true,49.0,,-0.0
142,PT_Coal,2030,true,824.0,,2.0
143,PT_Nuclear,2030,true,2095.0,,-0.0
144,PT_CCGT,2030,true,357.0,,2.0
145,PT_OCGT,2030,true,357.0,,3.0
146,PT_Battery,2030,false,100.0,,4.890904088730167
147,HR_Solar,2030,true,18.0,,30.0
148,HR_Wind_Onshore,2030,true,49.0,,130.0
149,HR_Coal,2030,true,824.0,,-0.0
150,HR_CCGT,2030,true,357.0,,1.0
151,HR_OCGT,2030,true,357.0,,-0.0
152,HR_Battery,2030,false,100.0,,1.7283076198217142
153,RO_Solar,2030,true,18.0,,235.0
154,RO_Wind_Onshore,2030,true,49.0,,292.0
155,RO_Wind_Offshore,2030,true,49.0,,-0.0
156,RO_Coal,2030,true,824.0,,1.0
157,RO_Nuclear,2030,true,2095.0,,-0.0
158,RO_CCGT,2030,true,357.0,,2.0
159,RO_OCGT,2030,true,357.0,,9.0
160,RO_Battery,2030,false,100.0,,4.536745671221297
161,GR_Solar,2030,true,18.0,,-0.0
162,GR_Wind_Onshore,2030,true,49.0,,257.0
163,GR_Coal,2030,true,824.0,,3.0
164,GR_Battery,2030,false,100.0,,0.18109616774831636
165,LV_Solar,2030,true,18.0,,-0.0
166,LV_Wind_Onshore,2030,true,49.0,,-0.0
167,LV_Wind_Offshore,2030,true,49.0,,-0.0
168,LV_Nuclear,2030,true,2095.0,,-0.0
169,LV_CCGT,2030,true,357.0,,-0.0
170,LV_OCGT,2030,true,357.0,,-0.0
171,LV_Battery,2030,false,100.0,,0.0
172,EE_Solar,2030,true,18.0,,42.0
173,EE_Wind_Onshore,2030,true,49.0,,19.0
174,EE_Coal,2030,true,824.0,,-0.0
175,EE_CCGT,2030,true,357.0,,1.0
176,EE_OCGT,2030,true,357.0,,-0.0
177,EE_Battery,2030,false,100.0,,0.83467950039598
178,MT_Solar,2030,true,18.0,,155.0
179,MT_Wind_Onshore,2030,true,49.0,,-0.0
180,MT_Wind_Offshore,2030,true,49.0,,-0.0
181,MT_CCGT,2030,true,357.0,,-0.0
182,MT_OCGT,2030,true,357.0,,-0.0
183,MT_Battery,2030,false,100.0,,11.83832574854797
184,CY_Solar,2030,true,18.0,,165.0
185,CY_Wind_Onshore,2030,true,49.0,,-0.0
186,CY_Coal,2030,true,824.0,,-0.0
187,CY_Nuclear,2030,true,2095.0,,-0.0
188,CY_CCGT,2030,true,357.0,,-0.0
189,BG_Solar,2030,true,18.0,,157.0
190,BG_Wind_Onshore,2030,true,49.0,,218.0
191,BG_Wind_Offshore,2030,true,49.0,,-0.0
192,BG_Nuclear,2030,true,2095.0,,-0.0
193,BG_OCGT,2030,true,357.0,,2.0
194,BG_Battery,2030,false,100.0,,1.4672061316568061
195,DE_Wind_Onshore,2030,true,49.0,,1939.0
196,UK_Wind_Onshore,2030,true,49.0,,1686.0
197,DK_Wind_Onshore,2030,true,49.0,,279.0
198,NO_Coal,2030,true,824.0,,-0.0
199,SE_Solar,2030,true,18.0,,-0.0
200,SE_Wind_Offshore,2030,true,49.0,,-0.0
201,IT_Wind_Onshore,2030,true,49.0,,684.0
202,HR_Nuclear,2030,true,2095.0,,-0.0
203,GR_Wind_Offshore,2030,true,49.0,,-0.0
204,GR_Nuclear,2030,true,2095.0,,-0.0
205,LV_Coal,2030,true,824.0,,1.0
206,EE_Wind_Offshore,2030,true,49.0,,-0.0
207,MT_Coal,2030,true,824.0,,-0.0
208,CY_Wind_Offshore,2030,true,49.0,,-0.0
209,BG_CCGT,2030,true,357.0,,1.0
210,PL_CCGT,2030,true,357.0,,3.0
211,GR_OCGT,2030,true,357.0,,-0.0
212,BG_Coal,2030,true,824.0,,1.0
213,BE_Wind_Offshore,2030,true,49.0,,-0.0
214,FR_Solar,2030,true,18.0,,1317.0
215,FR_CCGT,2030,true,357.0,,13.0
216,CH_Battery,2030,false,100.0,,5.220275829706225
217,UK_Wind_Offshore,2030,true,49.0,,-0.0
218,DK_Wind_Offshore,2030,true,49.0,,-0.0
219,DK_CCGT,2030,true,357.0,,-0.0
220,IE_Solar,2030,true,18.0,,-0.0
221,IE_Wind_Onshore,2030,true,49.0,,195.0
222,IE_Battery,2030,false,100.0,,0.028343508160096464
223,CZ_Wind_Onshore,2030,true,49.0,,277.0
224,CZ_Coal,2030,true,824.0,,1.0
225,IT_Coal,2030,true,824.0,,27.0
226,LT_Solar,2030,true,18.0,,54.0
227,FI_Wind_Offshore,2030,true,49.0,,-0.0
228,FI_CCGT,2030,true,357.0,,5.0
229,SI_Nuclear,2030,true,2095.0,,-0.0
230,SK_Solar,2030,true,18.0,,-0.0
231,SK_Coal,2030,true,824.0,,-0.0
232,HR_Wind_Offshore,2030,true,49.0,,-0.0
233,GR_CCGT,2030,true,357.0,,-0.0
234,EE_Nuclear,2030,true,2095.0,,-0.0
235,MT_Nuclear,2030,true,2095.0,,-0.0
236,SI_CCGT,2030,true,357.0,,-0.0
237,CY_OCGT,2030,true,357.0,,-0.0
238,CH_CCGT,2030,true,357.0,,2.0
239,SI_Battery,2030,false,100.0,,0.20727175585448124
240,CY_Battery,2030,false,100.0,,1.6175166121015354
